univerzita,dotacie,mzdy,dotacie-dokt,dotacie-stud,zamestnanci,int-dokt,dokt-abs,studenti,studenti-denni,absolventi,ubyt-kap-sd,ubyt-studenti-sd,prispevok-sd,publikacie 07711,publikacie 07712
UK,59 596 766,22 666 782,7 239 708,8 844 243,156,1 559,NA,27 422,20 360,20 606,10 861,10 099,800 848,2059,2556
UPJŠ,18 046 181,6 998 049,1 884 564,2 850 229,50,314,NA,8 699,7 094,5 066,1 806,1 785,126 960,693,1011
PU,13 062 238,5 839 476,1 222 676,4 470 705,28,205,NA,10 571,6 843,7 006,1 921,1 954,154 240,588,455
UCM,6 701 348,3 098 222,458 464,1 001 229,0,77,NA,5 912,4 538,3 444,224,218,13 952,215,197
UVL,6 715 515,3 041 069,537 528,808 434,26,117,NA,1 873,1 572,1 457,908,814,26 048,186,221
UKF,15 671 333,6 949 623,1 448 312,2 670 702,55,242,NA,12 388,8 060,7 709,1 552,1 551,124 080,685,533
UMB,15 692 816,6 639 663,1 274 616,3 050 082,0,252,NA,12 349,7 564,7 863,2 434,2 328,164 480,749,575
TVU,8 195 021,3 601 492,851 032,1 128 740,8,188,NA,7 516,4 386,3 772,,,0,396,265
STU,46 202 540,17 067 566,5 882 256,5 183 162,1,1 190,NA,18 226,15 961,16 279,6 724,6 715,533 360,1139,1463
TUKE,29 350 910,12 177 176,2 838 188,6 752 009,2,554,NA,16 319,12 365,12 088,4 984,5 843,414 400,727,693
ŽU,20 430 837,8 275 189,2 102 972,4 136 075,12,392,NA,11 715,8 879,8 487,5 044,4 499,354 448,393,316
TUAD,5 997 982,2 843 776,500 044,789 084,0,84,NA,5 707,3 142,4 263,320,158,10 048,125,127
EU,16 989 556,7 489 611,1 315 260,3 112 157,56,257,NA,12 759,9 808,8 160,3 530,3 308,240 288,604,414
SPU,15 435 365,6 544 134,1 399 328,2 412 016,10,258,NA,9 964,6 821,7 448,3 028,2 536,164 768,455,411
TUZVO,8 525 810,3 681 714,755 260,1 498 175,280,153,NA,5 235,3 353,3 216,1 524,1 484,88 048,312,261
VŠMU,4 922 607,2 043 530,410 944,242 425,0,61,NA,1 052,936,2 159,,,0,23,11
VŠVU,3 692 731,1 398 953,289 012,133 417,0,57,NA,687,603,1 283,,,0,47,12
AU,2 663 992,1 187 816,196 196,293 568,0,30,NA,629,560,1 274,136,100,6 400,22,9
KU,9 145 252,4 097 915,922 312,2 031 039,0,166,NA,7 353,3 825,5 969,631,541,28 992,508,424
UJS,2 086 538,991 549,84 828,636 283,0,9,NA,2 403,1 552,1 188,513,468,37 440,73,49
